id,year,active_year,type_of_violence,conflict_new_id,conflict_name,dyad_new_id,dyad_name,side_a_new_id,gwnoa,side_a,side_b_new_id,gwnob,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,adm_1,adm_2,latitude,longitude,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,low,best,high
151894,2014,1,1,333,Afghanistan:Government,735,Government of Afghanistan - Taleban,130,700,Government of Afghanistan,303,,Taleban,1,"""Xinhua News Agency,2014-08-20,10 militants, policeman killed in eastern Afghan clash""",Xinhua News Agency,8/20/14,"10 militants, policeman killed in eastern Afghan clash",Military,3,Andar district,Ghazni province,Andar district,33.305843,68.446963,177617,Afghanistan,700,Asia,1,1,8/20/14,8/20/14,1,10,0,0,11,11,11
151896,2014,1,1,333,Afghanistan:Government,735,Government of Afghanistan - Taleban,130,700,Government of Afghanistan,303,,Taleban,1,"""BBC Monitoring South Asia,2014-08-20,Many people hurt in separate security incidents in four Afghan provinces""",BBC Monitoring South Asia,8/20/14,Many people hurt in separate security incidents in four Afghan provinces,Police,1,Saraw village,Uruzgan province,Shahidi Hossas district (Charchino),32.90019,65.40409,176891,Afghanistan,700,Asia,1,1,8/20/14,8/20/14,0,0,3,0,3,3,3
151898,2014,1,1,333,Afghanistan:Government,735,Government of Afghanistan - Taleban,130,700,Government of Afghanistan,303,,Taleban,1,"""BBC Monitoring South Asia,2014-08-20,Blast kills local police commander in district in Afghan south""",BBC Monitoring South Asia,8/20/14,Blast kills local police commander in district in Afghan south,Police,2,Dawan village,Uruzgan province,Shahidi Hossas district (Charchino),32.9342,65.6083,176892,Afghanistan,700,Asia,1,1,8/20/14,8/20/14,1,0,0,0,1,1,1
151900,2014,1,1,333,Afghanistan:Government,735,Government of Afghanistan - Taleban,130,700,Government of Afghanistan,303,,Taleban,1,"""BBC Monitoring South Asia,2014-08-20,Three policemen killed, three injured in mine blast in Afghan south""",BBC Monitoring South Asia,8/20/14,"Three policemen killed, three injured in mine blast in Afghan south","District head, Taleban",1,Shalghamay village,Kandahar province,Maywand district,31.516612,65.17174,175451,Afghanistan,700,Asia,1,1,8/20/14,8/20/14,3,0,0,0,3,3,3
151904,2014,1,3,514,Taleban - Civilians,981,Taleban - Civilians,303,,Taleban,1,,Civilians,1,"""BBC Monitoring South Asia,2014-08-20,Unknown armed men kill two on charges of spying in Afghan east""",BBC Monitoring South Asia,8/20/14,Unknown armed men kill two on charges of spying in Afghan east,"Police, Resident",1,Managai village,Kunar province,Wata Pur district,34.9466,71.0511,179783,Afghanistan,700,Asia,1,1,8/20/14,8/20/14,0,0,0,0,0,0,2
155093,2014,1,1,432,Russia (Soviet Union):Caucasus Emirate,899,Government of Russia (Soviet Union) - Forces of the Caucasus Emirate,57,365,Government of Russia (Soviet Union),367,,Forces of the Caucasus Emirate,1,"""BBC Monitoring Caucasus,2014-08-20,Russia: Security officer wounded, civilian killed in Dagestan""",BBC Monitoring Caucasus,8/20/14,"Russia: Security officer wounded, civilian killed in Dagestan",RIA Dagestan,1,Khasavyurt,Dagestan,Khasavyurt municipality,43.2505,46.5851,191974,Russia (Soviet Union),365,Europe,1,1,8/20/14,8/20/14,0,0,0,0,0,0,1
151906,2014,1,1,333,Afghanistan:Government,735,Government of Afghanistan - Taleban,130,700,Government of Afghanistan,303,,Taleban,3,"""BBC Monitoring South Asia,2014-08-21,Taleban say ISAF worker stabbed to death in Afghan capital"";""Pajhwok Afghan News,2014-08-20,Foreigner stabbed to death in Kabul"";""iCasualties,2015-02-06,Fatalities Operation Enduring Freedom Afghanistan""",BBC Monitoring South Asia;Pajhwok Afghan News;iCasualties,2014-08-21;2014-08-20;2015-02-06,Taleban say ISAF worker stabbed to death in Afghan capital;Foreigner stabbed to death in Kabul;Fatalities Operation Enduring Freedom Afghanistan,"Taleban, ISAF",1,Kabul city,Kabul province,Kabul district,34.531094,69.162796,179779,Afghanistan,700,Asia,1,1,8/20/14,8/20/14,1,0,0,0,1,1,1
153311,2014,1,2,4666,Ma'aliyah - Rizeigat Baggara,5276,Ma'aliyah - Rizeigat Baggara,641,,Ma'aliyah,703,,Rizeigat Baggara,2,"""All Africa,2014-08-21,Hundreds Killed in Ma'aliya, Rizeigat Fighting in East Darfur"";""All Africa,2014-08-22,Forces Deployed in East Darfur to Curb New Tribal Clashes""",All Africa;All Africa,2014-08-21;2014-08-22,"Hundreds Killed in Ma'aliya, Rizeigat Fighting in East Darfur;Forces Deployed in East Darfur to Curb New Tribal Clashes","Member of Parliament for Abu Karinka constituency, Hamdan Abdallah Tirab
Mohamed Eisa Eleiwo, chairman of the Rizeigat Elders Council of Abu Karinka locality
Deputy Governor of East Darfur State, Ahmed Kibir Jibril",2,Umm Rakuba village,East Darfur state,Abu Karinka district,11.3,26.633333,145854,Sudan,625,Africa,1,1,8/20/14,8/20/14,123,100,0,0,174,223,323
153779,2014,1,1,337,Somalia:Government,750,Government of Somalia - Al-Shabaab,95,520,Government of Somalia,717,,Al-Shabaab,1,"""BBC Monitoring Africa,2014-08-21,Al-Shabab claims responsibility for killing Somali police officer in Mogadishu""",BBC Monitoring Africa,8/21/14,Al-Shabab claims responsibility for killing Somali police officer in Mogadishu,Somali pro-Al-Shabab Radio Andalus,1,Mogadishu city,Banaadir region,Mogadishu district,2.066667,45.366667,132931,Somalia,520,Africa,1,1,8/20/14,8/20/14,0,0,0,0,0,0,3
153797,2014,1,1,337,Somalia:Government,750,Government of Somalia - Al-Shabaab,95,520,Government of Somalia,717,,Al-Shabaab,1,"""BBC Monitoring Africa,2014-08-23,Alleged Kenyan airstrike reportedly kills 17 militants in southwestern Somalia""",BBC Monitoring Africa,8/23/14,Alleged Kenyan airstrike reportedly kills 17 militants in southwestern Somalia,"Abdi Ali Abdi, the administrator of the village of Ceel Cadde",3,Belet Hawa district,Gedo region,Belet Hawa district,3.4232,41.735699,134364,Somalia,520,Africa,1,1,8/20/14,8/20/14,0,0,0,0,0,0,17
