id,year,active_year,type_of_violence,conflict_new_id,conflict_name,dyad_new_id,dyad_name,side_a_new_id,gwnoa,side_a,side_b_new_id,gwnob,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,adm_1,adm_2,latitude,longitude,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,low,best,high
183917,2014,0,2,4988,Greenlanders - NDV,5598,Greenlanders - NDV,1173,,Greenlanders,657,,NDV,1,"""Feelrivers,2014-04-26,BLOOD BATH IN ABUA, AS CULT GROUPS BATTLE FOR SUPREMACY""",Feelrivers,4/26/14,"BLOOD BATH IN ABUA, AS CULT GROUPS BATTLE FOR SUPREMACY",,1,Otari village,Rivers state,Abua/Odual lga,4.85989,6.66175,136454,Nigeria,475,Africa,2,4,4/1/14,4/25/14,0,0,0,2,2,2,2
157360,2014,1,1,13349,Myanmar (Burma):Palaung,14273,Government of Myanmar (Burma) - PSLF,144,775,Government of Myanmar (Burma),5965,,PSLF,1,"""The Irrawaddy,2014-07-18,178 Govt Troops Killed by TNLA This Year: Rebel Leaders""",The Irrawaddy,7/18/14,178 Govt Troops Killed by TNLA This Year: Rebel Leaders,TNLA headquarters,5,Northern Shan State,Shan State,,22.95,97.95,162556,Myanmar (Burma),775,Asia,2,5,1/1/14,7/18/14,0,10,0,0,10,10,166
164198,2014,1,1,329,Ethiopia:Ogaden,719,Government of Ethiopia - ONLF,97,530,Government of Ethiopia,497,,ONLF,-1,,,,,AGGREGATION,4,Somali state,Somali state,,7,44,140129,Ethiopia,530,Africa,2,5,1/1/14,12/31/14,0,0,0,25,25,25,0
128827,2014,1,2,4948,Birom - Fulani,5558,Birom - Fulani,589,,Birom,607,,Fulani,1,"""All Africa,2014-01-07,Nigerian Military Confirms Six Killed, Five Injured in Riyom, Plateau Attack""",All Africa,1/7/14,"Nigerian Military Confirms Six Killed, Five Injured in Riyom, Plateau Attack","the spokesperson of the Special Task Force, STF, Salisu Mustapha",1,Bachit village,Plateau state,Riyom lga,9.51667,8.7,143658,Nigeria,475,Africa,3,2,1/6/14,1/7/14,0,0,0,0,0,0,6
114000,2014,1,1,259,Iraq:Government,524,Government of Iraq - IS,116,645,Government of Iraq,234,,IS,1,"""Agence France Presse,2014-01-10,Clashes erupt in west Iraq as standoff persists""",Agence France Presse,1/10/14,Clashes erupt in west Iraq as standoff persists,,1,Al Khālidīyah town,Al Anbār province,Qaḑā’ ar Ramādī,33.38728,43.522943,177568,Iraq,645,Middle East,1,1,1/10/14,1/10/14,0,0,2,0,2,2,2
157144,2014,1,3,11706,FPRC - Civilians,12382,FPRC - Civilians,4007,,FPRC,1,,Civilians,1,"""CAR Daily SITREP,2014-01-14,Safety and Security Section Bangui - République Centrafricaine DAILY CAR""",CAR Daily SITREP,1/14/14,Safety and Security Section Bangui - République Centrafricaine DAILY CAR,,1,Bangui city,Bangui province,Bangui region,4.366667,18.583333,135758,Central African Republic,482,Africa,1,1,1/11/14,1/11/14,0,0,3,0,3,3,3
152408,2014,1,1,386,Algeria:Government,830,Government of Algeria - AQIM,109,615,Government of Algeria,539,,AQIM,1,"""BBC Monitoring Middle East,2014-10-16,Algerian forces kill three rebels in Boumerdes Province""",BBC Monitoring Middle East,10/16/14,Algerian forces kill three rebels in Boumerdes Province,"Echourouk El Youmi website, Algiers, in Arabic 14 Oct 14",4,Boumerdes province,Boumerdes province,,36.75,3.666667,182528,Algeria,615,Africa,1,2,1/13/14,1/14/14,0,3,0,0,0,3,3
128855,2014,1,2,11480,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,12132,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,1051,,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,4000,,Yan Gora,3,"""All Africa,2014-01-16,Sheriff Blames Maiduguri Bomb Blast On State Govt"";""Nigeria Watch IBD001702,2014-01-14,Boko Haram Kill 5, Borno"";""Premium Times,2014-02-02,Massacre in Borno as Boko Haram kills at least 250 in two weeks""",All Africa;Nigeria Watch IBD001702;Premium Times,2014-01-16;2014-01-14;2014-02-02,"Sheriff Blames Maiduguri Bomb Blast On State Govt;Boko Haram Kill 5, Borno;Massacre in Borno as Boko Haram kills at least 250 in two weeks","An eyewitness, Tijjani Moham",3,Mafa lga,Borno state,Mafa lga,11.925833,13.605556,146548,Nigeria,475,Africa,1,1,1/14/14,1/14/14,0,0,1,4,5,5,5
114032,2014,1,1,259,Iraq:Government,524,Government of Iraq - IS,116,645,Government of Iraq,234,,IS,1,"""Agence France Presse,2014-01-16,Iraq launches assault on Anbar militant stronghold""",Agence France Presse,1/16/14,Iraq launches assault on Anbar militant stronghold,AFP,1,Al Fallūjah town,Al Anbār province,Qaḑā’ al Fallūjah,33.355813,43.786124,177568,Iraq,645,Middle East,1,1,1/16/14,1/16/14,0,0,0,2,2,2,2
157155,2014,1,3,11705,anti-Balaka - Civilians,12379,anti-Balaka - Civilians,4201,,anti-Balaka,1,,Civilians,2,"""CAR Daily SITREP,2014-01-16,Safety and Security Section Bangui - République Centrafricaine DAILY CAR"";""AI,2014-02-01,Ethnic Cleansing and Sectarian Killings in the Central African Republic""",CAR Daily SITREP;AI,2014-01-16;2014-02-01,Safety and Security Section Bangui - République Centrafricaine DAILY CAR;Ethnic Cleansing and Sectarian Killings in the Central African Republic,AI,2,Bouar town,Nana-Mambéré province,Bouar region,5.933314,15.59317,137912,Central African Republic,482,Africa,1,1,1/16/14,1/16/14,0,0,20,0,20,20,20
157184,2014,1,2,11704,anti-Balaka - FPRC,12378,anti-Balaka - FPRC,4201,,anti-Balaka,4007,,FPRC,1,"""AI,2014-07-01,Central African Republic: Time for accountability""",AI,7/1/14,Central African Republic: Time for accountability,,1,Bangui city,Bangui province,Bangui region,4.366667,18.583333,135758,Central African Republic,482,Africa,1,1,1/23/14,1/23/14,0,0,0,4,4,4,4
149794,2014,1,1,404,Pakistan:Government,857,Government of Pakistan - TTP,142,770,Government of Pakistan,356,,TTP,1,"""Agence France Presse,2014-01-25,Gunmen kill six policemen in southern Pakistan""",Agence France Presse,1/25/14,Gunmen kill six policemen in southern Pakistan,police,1,Karachi Town,Sindh Province,Karachi District,24.86,67.01,165375,Pakistan,770,Asia,1,1,1/25/14,1/25/14,6,0,0,0,6,6,6
143663,2014,1,1,333,Afghanistan:Government,735,Government of Afghanistan - Taleban,130,700,Government of Afghanistan,303,,Taleban,1,"""Xinhua News Agency,2014-01-28,Two Afghan soldiers killed in bomb attacks""",Xinhua News Agency,1/28/14,Two Afghan soldiers killed in bomb attacks,Defense Ministry,4,Hilmand province,Hilmand province,,31,64,174729,Afghanistan,700,Asia,1,2,1/27/14,1/28/14,1,0,0,0,1,1,1
151554,2014,1,2,4781,Fulani - Touareg,5391,Fulani - Touareg,607,,Fulani,937,,Touareg,1,"""Agence France Presse,2014-02-07,At least 30 Tuaregs killed in northern Mali: official""",Agence France Presse,2/7/14,At least 30 Tuaregs killed in northern Mali: official,,1,Tamkoutat town,Gao region,Gao cercle,16.4032,0.9921,153002,Mali,432,Africa,1,1,2/6/14,2/6/14,0,30,0,0,30,30,30
153970,2014,0,2,4672,Dassanetch - Turkana,5282,Dassanetch - Turkana,713,,Dassanetch,693,,Turkana,1,"""Daily Nation,2014-02-10,Two Ethiopian raiders killed by reservists""",Daily Nation,2/10/14,Two Ethiopian raiders killed by reservists,Turkana North police boss Bernard Nyakwaka,3,Turkana North Constituency,Turkana county,Turkana North Constituency,4,35.5,135792,Kenya,501,Africa,1,2,2/8/14,2/9/14,2,0,0,0,2,2,2
144012,2014,1,1,333,Afghanistan:Government,735,Government of Afghanistan - Taleban,130,700,Government of Afghanistan,303,,Taleban,1,"""BBC Monitoring South Asia,2014-02-11,Four Afghan soldiers killed in two blasts in Afghan south""",BBC Monitoring South Asia,2/11/14,Four Afghan soldiers killed in two blasts in Afghan south,Defence Ministry,3,Khash Rod district,Nimroz province,Khash Rod district,31.749897,62.940045,175446,Afghanistan,700,Asia,1,2,2/9/14,2/11/14,2,0,0,0,2,2,2
144032,2014,1,1,333,Afghanistan:Government,735,Government of Afghanistan - Taleban,130,700,Government of Afghanistan,303,,Taleban,1,"""Xinhua News Agency,2014-02-12,6 Afghan militants killed in fresh raids""",Xinhua News Agency,2/12/14,6 Afghan militants killed in fresh raids,Interior Ministry,6,Afghanistan,,,33,65,177611,Afghanistan,700,Asia,2,2,2/11/14,2/12/14,0,6,0,0,6,6,6
150558,2014,1,1,11345,South Sudan:Government,12413,Government of South Sudan - SPLM/A In Opposition,113,626,Government of South Sudan,4226,,SPLM/A In Opposition,1,"""All Africa,2014-02-25,New Clashes Erupt in South Sudan""",All Africa,2/25/14,New Clashes Erupt in South Sudan,"Thon Leek, a lawmaker from Duk County",1,Mareng town,Jonglei state,Duk county,7.596727,31.45148,140823,South Sudan,626,Africa,1,1,2/23/14,2/23/14,0,0,2,0,2,2,2
113847,2014,1,3,11705,anti-Balaka - Civilians,12379,anti-Balaka - Civilians,4201,,anti-Balaka,1,,Civilians,1,"""Al Jazeera English,2014-03-03,CAR ex-minister hacked to death with machetes""",Al Jazeera English,3/3/14,CAR ex-minister hacked to death with machetes,,1,Bangui city,Bangui province,Bangui region,4.366667,18.583333,135758,Central African Republic,482,Africa,1,1,3/2/14,3/2/14,0,0,1,0,1,1,1
144573,2014,1,1,333,Afghanistan:Government,735,Government of Afghanistan - Taleban,130,700,Government of Afghanistan,303,,Taleban,1,"""Xinhua News Agency,2014-03-04,Afghan security forces kill 7 militants: ministry""",Xinhua News Agency,3/4/14,Afghan security forces kill 7 militants: ministry,INterior Ministry,4,Kandahar province,Kandahar province,,31,65.75,174732,Afghanistan,700,Asia,2,2,3/3/14,3/4/14,0,2,0,0,2,2,2
129119,2014,1,2,4973,Fulani - Tiv,5583,Fulani - Tiv,607,,Fulani,1032,,Tiv,1,"""BBC Monitoring Africa,2014-03-07,Gunmen reportedly kill 30 people Nigeria's Benue State""",BBC Monitoring Africa,3/7/14,Gunmen reportedly kill 30 people Nigeria's Benue State,,1,Tse ihoor village,Benue state,Logo lga,7.561399,9.206222,140779,Nigeria,475,Africa,1,1,3/6/14,3/6/14,0,0,0,0,0,0,6
114391,2014,1,3,506,IS - Civilians,973,IS - Civilians,234,,IS,1,,Civilians,1,"""Agence France Presse,2014-04-21,Iraq attacks kill 26 as election looms""",Agence France Presse,4/21/14,Iraq attacks kill 26 as election looms,AFP,1,Baghdād city,Baghdād province,,33.340582,44.400876,177569,Iraq,645,Middle East,1,1,4/21/14,4/21/14,0,0,0,3,3,3,3
152336,2014,1,1,364,India:Kashmir,792,Government of India - Kashmir insurgents,141,750,Government of India,325,,Kashmir insurgents,-1,,,,,police,2,Tral town,Jammu and Kashmir State,Pulwama District,33.919908,75.117832,178351,India,750,Asia,1,1,3/10/14,3/10/14,0,1,0,0,1,1,1
162050,2014,1,2,11191,Christians (CAR) - Muslims (CAR),11801,Christians (CAR) - Muslims (CAR),3555,,Christians (CAR),3556,,Muslims (CAR),1,"""Humanitartarian Response,2014-06-09,Liste des Incidents en RCA""",Humanitartarian Response,6/9/14,Liste des Incidents en RCA,DSS siterep 19/03,3,Rafai region,Mbomou province,Rafai region,5.741315,24.175254,137929,Central African Republic,482,Africa,1,1,3/14/14,3/14/14,0,0,0,0,0,0,1
147351,2014,1,3,1850,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,2332,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,1051,,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1,,Civilians,1,"""Nigeria Watch IBD002244,2014-03-17,Boko Haram Kill 2, Borno""",Nigeria Watch IBD002244,3/17/14,"Boko Haram Kill 2, Borno",,3,Hawul lga,Borno state,Hawul lga,10.4331,12.24682,144385,Nigeria,475,Africa,1,1,3/17/14,3/17/14,0,0,2,0,2,2,2
120210,2014,1,1,386,Algeria:Government,830,Government of Algeria - AQIM,109,615,Government of Algeria,539,,AQIM,1,"""Agence France Presse,2014-03-19,Algeria troops kill three suspected militants""",Agence France Presse,3/19/14,Algeria troops kill three suspected militants,defence ministry ,4,Tizi Ouzou province,Tizi Ouzou province,,36.75,4.25,182529,Algeria,615,Africa,1,1,3/19/14,3/19/14,0,3,0,0,3,3,3
162094,2014,1,2,11704,anti-Balaka - FPRC,12378,anti-Balaka - FPRC,4201,,anti-Balaka,4007,,FPRC,1,"""Humanitartarian Response,2014-06-09,Liste des Incidents en RCA""",Humanitartarian Response,6/9/14,Liste des Incidents en RCA,Ocha Flashreport 29/03 Réseau des Journalistes RCA,1,Bangui city,Bangui province,Bangui region,4.366667,18.583333,135758,Central African Republic,482,Africa,1,1,3/29/14,3/29/14,0,1,0,0,1,1,1
149385,2014,1,1,421,India:Bodoland,14102,Government of India - NDFB-S,141,750,Government of India,5826,,NDFB-S,1,"""SATP, Assam timeline 2014,1753-01-01,March 31""","SATP, Assam timeline 2014",1753-01-01,31-Mar,,1,Kamar Gaon village,Assam State,Barpeta District,26.541314,90.909652,168302,India,750,Asia,1,1,3/31/14,3/31/14,0,1,0,0,1,1,1
147374,2014,1,1,333,Afghanistan:Government,735,Government of Afghanistan - Taleban,130,700,Government of Afghanistan,303,,Taleban,1,"""Xinhua News Agency,2014-04-01,About 30 Taliban insurgent members killed in security operations""",Xinhua News Agency,4/1/14,About 30 Taliban insurgent members killed in security operations,Interior Ministry,4,Laghman province,Laghman province,,34.783333,70.183333,179781,Afghanistan,700,Asia,2,2,3/31/14,4/1/14,0,4,0,0,4,4,4
121053,2014,1,1,337,Somalia:Government,750,Government of Somalia - Al-Shabaab,95,520,Government of Somalia,717,,Al-Shabaab,1,"""BBC Monitoring Africa,2014-04-07,Somalia Islamists display bodies of slain Ethiopian soldiers in central""",BBC Monitoring Africa,4/7/14,Somalia Islamists display bodies of slain Ethiopian soldiers in central,Governor of Al-Shabab Movement's Galguduud Region Hasan Yakub Ali,1,El Bur town,Galgudud region,El Bur district,4.683333,46.616667,136534,Somalia,520,Africa,1,2,4/3/14,4/6/14,1,0,0,0,0,1,1
150012,2014,1,1,364,India:Kashmir,792,Government of India - Kashmir insurgents,141,750,Government of India,325,,Kashmir insurgents,1,"""SATP, J&K timeline, 2014,1753-01-01,April 7""","SATP, J&K timeline, 2014",1753-01-01,7-Apr,,3,Anantnag District,Jammu and Kashmir State,Anantnag District,33.83333,75.16667,178351,India,750,Asia,1,1,4/7/14,4/7/14,1,0,0,0,1,1,1
158788,2014,0,3,522,Kashmir insurgents - Civilians,989,Kashmir insurgents - Civilians,325,,Kashmir insurgents,1,,Civilians,2,"""The Hindu,2014-12-14,Another sarpanch shot dead"";""maps of india, ,1753-01-01,J&K Assmebly election results 2014""","The Hindu;maps of india, ",2014-12-14;1753-01-01,Another sarpanch shot dead;J&K Assmebly election results 2014,,4,Jammu and Kashmir State,Jammu and Kashmir State,,33.85145,76.157153,178353,India,750,Asia,1,4,4/10/14,5/7/14,0,0,0,0,0,0,1
151840,2014,1,2,13263,TTP-KM - TTP-SM,14147,TTP-KM - TTP-SM,5864,,TTP-KM,5865,,TTP-SM,1,"""Agence France Presse,2014-04-09,Four more killed in Pakistani militant infighting""",Agence France Presse,4/9/14,Four more killed in Pakistani militant infighting,intelligence and militant sources,2,Shawal Area,Federally Administered Tribal Areas,North Waziristan,32.622222,69.472778,176899,Pakistan,770,Asia,1,1,4/9/14,4/9/14,0,0,0,4,4,4,4
121138,2014,1,1,337,Somalia:Government,750,Government of Somalia - Al-Shabaab,95,520,Government of Somalia,717,,Al-Shabaab,1,"""BBC Monitoring Africa,2014-04-16,Somali soldier killed by gunmen in Mogadishu""",BBC Monitoring Africa,4/16/14,Somali soldier killed by gunmen in Mogadishu,,1,Mogadishu city,Banaadir region,Mogadishu district,2.066667,45.366667,132931,Somalia,520,Africa,1,1,4/15/14,4/15/14,1,0,0,0,0,1,1
149874,2014,1,1,432,Russia (Soviet Union):Caucasus Emirate,899,Government of Russia (Soviet Union) - Forces of the Caucasus Emirate,57,365,Government of Russia (Soviet Union),367,,Forces of the Caucasus Emirate,2,"""Reuters News,2014-04-15,Russia says 4 militants killed in Dagestan siege"";""BBC Monitoring Caucasus,2014-04-16,Four rebels killed in Russia's Dagestan - anti-terror committee""",Reuters News;BBC Monitoring Caucasus,2014-04-15;2014-04-16,Russia says 4 militants killed in Dagestan siege;Four rebels killed in Russia's Dagestan - anti-terror committee,National Anti-terrorist Committee,2,Makhachkala,Dagestan,Makhachkala municipality,42.9849,47.5046,191256,Russia (Soviet Union),365,Europe,1,1,4/15/14,4/15/14,0,4,0,0,4,4,4
162104,2014,1,2,11704,anti-Balaka - FPRC,12378,anti-Balaka - FPRC,4201,,anti-Balaka,4007,,FPRC,1,"""Humanitartarian Response,2014-06-09,Liste des Incidents en RCA""",Humanitartarian Response,6/9/14,Liste des Incidents en RCA,UNDSS Sitrep 2014/04/18,1,Dekoa town,Kémo province,Dékoa region,6.32,19.08,138639,Central African Republic,482,Africa,3,2,4/16/14,4/17/14,0,0,0,27,27,27,27
140670,2014,1,3,1850,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,2332,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,1051,,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1,,Civilians,1,"""Nigeria Watch,2014-04-21,Boko Haram vs Party Leader, Borno""",Nigeria Watch,4/21/14,"Boko Haram vs Party Leader, Borno",Eye witness,2,Mafa town,Borno state,Mafa lga,11.92543,13.60269,146548,Nigeria,475,Africa,1,1,4/21/14,4/21/14,0,0,2,0,2,2,2
149065,2014,1,3,514,Taleban - Civilians,981,Taleban - Civilians,303,,Taleban,1,,Civilians,1,"""Xinhua News Agency,2014-04-23,1st LD Writethru: Local leader killed, two injured in S. Afghan attack""",Xinhua News Agency,4/23/14,"1st LD Writethru: Local leader killed, two injured in S. Afghan attack",health official ,1,Lashkar Gah town,Hilmand province,Lashkar Gah district,31.579996,64.377396,175449,Afghanistan,700,Asia,1,1,4/23/14,4/23/14,0,0,0,0,0,0,1
149076,2014,1,1,333,Afghanistan:Government,735,Government of Afghanistan - Taleban,130,700,Government of Afghanistan,303,,Taleban,1,"""Xinhua News Agency,2014-04-24,1st Ld, Writethru: Afghan troops kill 8 Taliban including 2 commanders in southern province""",Xinhua News Agency,4/24/14,"1st Ld, Writethru: Afghan troops kill 8 Taliban including 2 commanders in southern province",Military,3,Andar district,Ghazni province,Andar district,33.305843,68.446963,177617,Afghanistan,700,Asia,1,1,4/24/14,4/24/14,0,8,0,0,8,8,8
162153,2014,1,3,559,LRA - Civilians,1026,LRA - Civilians,488,,LRA,1,,Civilians,1,"""Humanitartarian Response,2014-06-09,Liste des Incidents en RCA""",Humanitartarian Response,6/9/14,Liste des Incidents en RCA,UNDSS,3,Zemio region,Haut-Mbomou province,Zemio region,5.031437,25.136145,137211,Central African Republic,482,Africa,1,1,4/24/14,4/24/14,0,0,0,0,0,0,1
150819,2014,1,3,11705,anti-Balaka - Civilians,12379,anti-Balaka - Civilians,4201,,anti-Balaka,1,,Civilians,1,"""S/2014/762,2014-10-29,S/2014/762""",S/2014/762,10/29/14,S/2014/762,,6,Central African Republic,,,7,21,140083,Central African Republic,482,Africa,2,5,5/1/14,8/14/14,0,0,129,0,129,129,129
140661,2014,1,1,337,Somalia:Government,750,Government of Somalia - Al-Shabaab,95,520,Government of Somalia,717,,Al-Shabaab,1,"""All Africa,2014-05-03,Al-Shabaab Fling Mortar Shells in Fahfahdun""",All Africa,5/3/14,Al-Shabaab Fling Mortar Shells in Fahfahdun,Witnesses ,1,Faafax Dhuun locality,Gedo region,Bardera district,2.20586,41.62493,132924,Somalia,520,Africa,1,1,5/3/14,5/3/14,0,0,0,1,1,1,2
149279,2014,1,1,333,Afghanistan:Government,735,Government of Afghanistan - Taleban,130,700,Government of Afghanistan,303,,Taleban,1,"""BBC Monitoring South Asia,2014-05-04,Eight police, five Taleban killed in clashes in Afghan west, east""",BBC Monitoring South Asia,5/4/14,"Eight police, five Taleban killed in clashes in Afghan west, east",head of the intelligence department ,5,Between Farah town and Lash Wa Juwayn district,Farah province,,32.04203,61.815147,176164,Afghanistan,700,Asia,1,1,5/4/14,5/4/14,5,0,0,0,5,5,5
114583,2014,1,1,259,Iraq:Government,524,Government of Iraq - IS,116,645,Government of Iraq,234,,IS,1,"""Agence France Presse,2014-06-04,Iraq attacks kill 32""",Agence France Presse,6/4/14,Iraq attacks kill 32,Provincial health chief Sabah Mohammed,1,Kirkūk town,Kirkūk province,Qaḑā’ Kirkūk,35.468056,44.392222,180449,Iraq,645,Middle East,1,1,6/4/14,6/4/14,0,0,0,8,8,8,8
142436,2014,1,1,230,Yemen (North Yemen):Government,459,Government of Yemen (North Yemen) - AQAP,123,678,Government of Yemen (North Yemen),881,,AQAP,2,"""Agence France Presse,2014-05-09,Yemen forces kill Qaeda 'kidnap leader' in night raid"";""Agence France Presse,2014-05-09,Yemen minister escapes Qaeda ambush after vow to crush jihadists""",Agence France Presse;Agence France Presse,2014-05-09;2014-05-09,Yemen forces kill Qaeda 'kidnap leader' in night raid;Yemen minister escapes Qaeda ambush after vow to crush jihadists,Security forces,1,Şan‘ā’ city,Amānat al ‘Āşimah governorate,,15.354722,44.206667,151649,Yemen (North Yemen),678,Middle East,1,2,5/8/14,5/9/14,0,2,0,0,2,2,2
114443,2014,1,1,259,Iraq:Government,524,Government of Iraq - IS,116,645,Government of Iraq,234,,IS,1,"""Agence France Presse,2014-05-11,Militants kidnap, kill 20 Iraqi soldiers""",Agence France Presse,5/11/14,"Militants kidnap, kill 20 Iraqi soldiers",AFP,2,Baghdād city,Baghdād province,,33.340582,44.400876,177569,Iraq,645,Middle East,1,1,5/11/14,5/11/14,2,0,0,2,0,4,4
114925,2014,1,1,308,Philippines:Mindanao,11246,Government of Philippines - BIFM,154,840,Government of Philippines,1146,,BIFM,1,"""PNA (Philippines News Agency),2014-05-12,Army hunts down BIFF who ambush Army convoy in Maguindanao""",PNA (Philippines News Agency),5/12/14,Army hunts down BIFF who ambush Army convoy in Maguindanao,army,1,Meta village,Maguindanao province,Datu Unsay municipality,6.9208,124.4533,139569,Philippines,840,Asia,1,1,5/12/14,5/12/14,2,0,0,0,2,2,2
114449,2014,1,3,506,IS - Civilians,973,IS - Civilians,234,,IS,1,,Civilians,1,"""Agence France Presse,2014-05-13,Baghdad bombs against Shiites kill 25""",Agence France Presse,5/13/14,Baghdad bombs against Shiites kill 25,AFP,1,Baghdād city,Baghdād province,,33.340582,44.400876,177569,Iraq,645,Middle East,1,1,5/13/14,5/13/14,0,0,0,20,20,20,20
149479,2014,1,1,333,Afghanistan:Government,735,Government of Afghanistan - Taleban,130,700,Government of Afghanistan,303,,Taleban,1,"""Xinhua News Agency,2014-05-14,5 Afghan soldiers killed in bomb attacks""",Xinhua News Agency,5/14/14,5 Afghan soldiers killed in bomb attacks,Defense Ministry,6,Afghanistan,,,33,65,177611,Afghanistan,700,Asia,2,2,5/13/14,5/14/14,4,0,0,0,4,4,4
149625,2014,1,1,333,Afghanistan:Government,735,Government of Afghanistan - Taleban,130,700,Government of Afghanistan,303,,Taleban,1,"""Xinhua News Agency,2014-05-16,Afghan forces kill 37 militants in 24 hours: MoI""",Xinhua News Agency,5/16/14,Afghan forces kill 37 militants in 24 hours: MoI,Interior Ministry,4,Logar province,Logar province,,34,69.25,179059,Afghanistan,700,Asia,2,2,5/15/14,5/16/14,0,1,0,0,1,1,1
115040,2014,1,1,209,Philippines:Government,411,Government of Philippines - CPP,154,840,Government of Philippines,169,,CPP,1,"""PNA (Philippines News Agency),2014-05-18,Rebel killed in Misamis Occidental clash""",PNA (Philippines News Agency),5/18/14,Rebel killed in Misamis Occidental clash,Military,2,Carmen village,Misamis Occidental province,Jimenez municipality,8.3275,123.781111,141728,Philippines,840,Asia,1,1,5/17/14,5/17/14,0,1,0,0,1,1,1
142178,2014,1,3,1850,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,2332,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,1051,,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1,,Civilians,1,"""All Africa,2014-05-18,Boko Haram Kills 49 in Fresh Borno Attacks""",All Africa,5/18/14,Boko Haram Kills 49 in Fresh Borno Attacks,A member of the security vigilante,3,Damboa lga,Borno state,Damboa lga,11.09826,12.76417,145826,Nigeria,475,Africa,1,1,5/17/14,5/17/14,0,0,40,0,40,40,40
140712,2014,1,1,337,Somalia:Government,750,Government of Somalia - Al-Shabaab,95,520,Government of Somalia,717,,Al-Shabaab,1,"""Agence France Presse,2014-05-20,New airstrikes target Somalia's Shebab""",Agence France Presse,5/20/14,New airstrikes target Somalia's Shebab,AMISOM,2,Jilib town,Middle Juba region,Jilib district,0.495833,42.772778,130046,Somalia,520,Africa,1,1,5/20/14,5/20/14,0,0,0,0,0,0,50
140609,2014,1,3,532,Patani insurgents - Civilians,999,Patani insurgents - Civilians,365,,Patani insurgents,1,,Civilians,1,"""Bangkok Post,2014-05-22,deep south - Two slain in separate shootings""",Bangkok Post,5/22/14,deep south - Two slain in separate shootings,police ,2,Tah Sap village,Yala,Mueang Yala district,6.53632,101.245418,139523,Thailand,800,Asia,1,1,5/21/14,5/21/14,0,0,1,0,0,1,1
149914,2014,1,1,333,Afghanistan:Government,735,Government of Afghanistan - Taleban,130,700,Government of Afghanistan,303,,Taleban,1,"""Xinhua News Agency,2014-05-25,Afghan security forces kill 47 militants within day: gov't""",Xinhua News Agency,5/25/14,Afghan security forces kill 47 militants within day: gov't,Interior Ministry ,4,Logar province,Logar province,,34,69.25,179059,Afghanistan,700,Asia,2,2,5/24/14,5/25/14,0,6,0,0,6,6,6
149552,2014,1,1,421,India:Bodoland,14102,Government of India - NDFB-S,141,750,Government of India,5826,,NDFB-S,2,"""SATP, Assam timeline 2013,1753-01-01,May 28"";""Press Trust of India,2014-05-29,NDFB""","SATP, Assam timeline 2013;Press Trust of India",1753-01-01;2014-05-29,May 28;NDFB,,1,"Dingdangpara village, Khoirabari sub-district",Assam State,Udalguri District,26.591069,91.795753,168304,India,750,Asia,1,2,5/28/14,5/29/14,0,1,0,0,1,1,1
142247,2014,1,3,499,CPI-Maoist - Civilians,966,CPI-Maoist - Civilians,195,,CPI-Maoist,1,,Civilians,1,"""SATP, Maharashtra timeline 2014,1753-01-01,.""","SATP, Maharashtra timeline 2014",1753-01-01,.,,1,"Belgaon  village, Dhanora sub-district",Maharashtra State,Gadchiroli District,20.342053,80.467487,158921,India,750,Asia,1,1,5/30/14,5/30/14,0,0,1,0,1,1,1
150224,2014,1,1,333,Afghanistan:Government,735,Government of Afghanistan - Taleban,130,700,Government of Afghanistan,303,,Taleban,1,"""Xinhua News Agency,2014-06-03,34 Taliban insurgents killed in Afghan raids: gov't""",Xinhua News Agency,6/3/14,34 Taliban insurgents killed in Afghan raids: gov't,Interior Ministry,4,Uruzgan province,Uruzgan province,,32.83333,66,176893,Afghanistan,700,Asia,2,2,6/2/14,6/3/14,0,5,0,0,5,5,5
147903,2014,1,1,289,Colombia:Government,623,Government of Colombia - FARC,17,100,Government of Colombia,743,,FARC,1,"""BBC Monitoring Americas,2014-06-04,Army captain said killed in suspected guerilla attack in southwestern Colombia""",BBC Monitoring Americas,6/4/14,Army captain said killed in suspected guerilla attack in southwestern Colombia,Text of report in English by Medellin-based Colombia Reports website on 3 June ,1,La Unión Peneya town,Caquetá department,La Unión Peneya municipality,1.2814,-75.20848,131250,Colombia,100,Americas,1,1,6/3/14,6/3/14,1,0,0,0,1,1,1
